"region","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Upplands Vasby",24393,25583,27430,29703,31702,33723,33614,33526,34790,35752,36780,36506,36332,36784,37498,38400,39408,41120,42236,43600,43787,44386,44174,46742
"Vallentuna",21156,22255,23690,25194,26894,29911,30646,30645,32103,33753,34903,35411,35567,37339,38129,39881,41203,42883,45058,46539,47583,48426,48673,51159
"Osteraker",23859,25199,26918,29778,31681,34231,33610,33001,34170,35590,37504,37902,38444,39171,40293,41156,41595,42873,42855,42916,42632,43297,42831,43988
"Varmdo",20390,21733,23717,26539,29384,32248,32748,32505,33616,34768,37246,38391,39139,40697,41726,43422,43661,45267,47027,46360,46439,47780,48485,51531
"Jarfalla",24569,26006,27766,29871,31173,33481,34042,34081,35492,35681,36632,35986,36011,36953,37667,39022,39300,40052,41234,42033,42667,43795,43813,46017
"Ekero",25078,25969,28105,29893,31959,35255,33524,33687,35560,37189,39315,40159,40369,41460,42956,44673,45995,47739,49745,53426,52919,53756,56309,56526
"Huddinge",22296,23589,25316,27223,29172,32093,32738,32559,33710,34350,35210,35069,35415,36644,37400,38645,39153,40959,42292,43639,44209,45717,46360,49140
"Botkyrka",22246,23167,24741,25156,25577,26858,27409,27558,28829,29281,30380,30299,30526,31037,31646,32520,33110,34793,36266,37755,38376,39076,39392,41913
"Salem",22881,24024,25635,27945,30223,32053,33580,32899,33876,34483,36350,36911,38267,38998,40125,41462,42369,43818,44648,46218,47476,49447,48661,49786
"Haninge",22310,23371,24954,26352,27730,29454,30218,31204,32397,33272,34319,34159,34603,34943,35920,36470,36805,38177,39450,40496,40957,41804,41688,44072
"Tyreso",23251,24835,26790,28992,31410,32971,33207,32955,34454,35712,37551,38225,38790,39733,40913,41715,41779,43514,45094,47488,48467,51891,51785,53726
"Upplands-Bro",23052,23845,25853,27335,29095,30436,30992,31347,32579,32781,33544,33484,34078,35220,36397,37799,38021,39195,39858,40632,40142,41595,41198,43771
"Nykvarn",,24283,26087,28658,29597,31201,32378,32803,34437,34920,36796,37349,38593,39552,41370,43028,42461,43105,43833,46342,47038,49556,49261,51574
"Taby",22918,26054,30642,34656,37342,40687,40296,39954,40798,42438,43401,44098,44086,45129,46407,47716,47947,49552,51849,53362,53645,55461,55603,57834
"Danderyd",27255,31100,35926,40281,45182,49332,50629,48665,49352,50450,53025,55151,54470,54446,57660,59350,59783,62242,65520,67551,67996,71385,79531,82168
"Sollentuna",23261,25318,27806,30431,33351,36126,36380,36128,37085,37671,39234,39862,40012,40985,42205,43526,44009,45698,48247,50343,51065,51942,51904,54276
"Stockholm",23325,24343,26520,28756,30596,33444,33657,33476,34743,35305,36460,36500,36641,37605,38785,39954,40830,43679,46584,48699,49591,50494,51354,54417
"Sodertalje",22050,23010,24469,26014,26831,27990,29359,29980,31450,31596,32763,32894,33110,32964,33524,34176,34809,36343,37325,38575,39085,40237,40475,42731
"Nacka",23537,25062,27373,29814,32006,35187,35426,35053,36290,37397,39325,40149,40297,41218,43813,45828,46262,47880,50288,51754,52173,53232,53194,55627
"Sundbyberg",21907,23497,25686,29477,32434,35118,35315,34587,35554,35948,36533,35330,35131,36079,37477,37720,37892,38818,40744,42725,45094,46599,48074,51554
"Solna",22023,23645,25298,27665,29537,31388,31602,31379,32789,33265,34424,34604,35670,36923,38091,38921,39850,41165,43111,44705,46094,47966,48631,51647
"Lidingo",27382,29610,33300,37752,40937,44076,43791,44048,45693,47277,49948,50867,50600,50969,53048,54422,54312,55962,58822,61428,61635,62449,62746,65717
"Vaxholm",22641,24184,25428,27464,29109,33422,34269,34148,35420,37519,40102,41590,41931,43209,45694,48074,49216,50887,53284,54254,54584,57450,59400,62201
"Norrtalje",20547,21535,22985,24603,25802,27670,28019,28831,30941,31916,32986,33291,33920,35442,36269,36963,36921,38046,39191,40247,40743,41917,41233,43111
"Sigtuna",21985,23239,25745,27136,29404,31862,32657,32540,33679,34305,35447,35414,35367,35457,36109,36321,37785,39205,40272,41680,42345,43278,43210,45491
"Nynashamn",22673,24103,25233,26712,27832,29074,29900,30564,31922,32799,33746,33810,34045,35274,36248,37212,38096,39009,40540,42095,43256,43952,43870,45327
"Habo",22509,24187,26270,29552,31298,34411,36289,35334,37243,38337,40310,40787,40616,42548,42801,44721,45477,46727,48041,49135,49167,50070,49528,51875
"Alvkarleby",23331,25958,27259,29541,29863,30950,31491,31898,33972,35132,36791,36862,37344,38903,39161,40155,40222,41771,43059,44781,45523,46819,45922,47062
"Knivsta",,,,,,33125,33521,34703,36323,37378,39387,39856,40453,42013,42247,44009,44475,44898,46267,47490,48558,52184,52819,55065
"Heby",18545,19801,21411,23202,24159,25429,26258,27905,29987,32565,34019,33964,34287,35082,36048,36960,38066,39272,40810,42459,43524,44529,44089,45680
"Tierp",20816,22422,23814,25216,25621,26848,26056,27847,29705,30375,31513,31655,32510,33545,34160,35230,36090,36946,38350,39500,39834,41767,41454,43269
"Uppsala",21986,23581,25612,27646,29450,31021,32574,33272,34878,35754,37148,36941,37148,38591,38833,40251,41113,42834,45084,46376,46701,47486,47392,49785
"Enkoping",22013,23265,24499,25855,26687,27845,28861,29946,31943,32975,34678,35180,35300,36553,37489,38906,39771,42058,42701,44252,45176,45950,45487,46926
"Osthammar",22651,24381,26548,27974,29017,30276,31147,32304,34363,35992,37617,37666,38548,39364,39818,41586,42656,43566,44473,46829,46693,48028,47950,49978
"Vingaker",19764,21249,23169,24706,26327,27134,27819,28230,30159,31708,33358,35012,35719,36646,37781,38133,37790,38988,39666,41337,42008,43215,42492,44818
"Gnesta",19721,20899,23166,25127,26511,28732,30306,31299,33119,34310,35630,35540,36677,37970,39857,41320,41622,42850,43552,44860,45071,46198,46135,48509
"Nykoping",21758,23232,25272,26999,28020,29049,30918,31838,33394,34391,36329,36840,37619,38638,39558,40316,40981,42333,43797,45399,45916,46681,46241,48143
"Oxelosund",25211,26914,29519,30510,30292,31238,31751,33811,36091,37484,38472,39499,41571,42174,42727,42856,42620,43198,44475,45927,45939,47279,46622,48165
"Flen",21380,22735,24744,26286,26872,27634,27692,29011,31365,32513,33868,33674,34329,34998,37072,37194,37300,38203,38508,39853,40976,41989,41956,43649
"Katrineholm",20546,21904,24297,25845,26992,27746,28675,29560,31426,32892,34546,34479,35055,36154,36979,37537,38021,39193,40695,42041,42727,43359,42819,45155
"Eskilstuna",21578,22818,24525,26045,26705,28491,29236,30356,32130,33087,34465,34670,35391,35914,36433,37357,37796,39275,40388,41781,42479,43362,43492,45477
"Strangnas",20305,21756,23856,25658,27040,28755,31179,31702,33385,34660,36155,38222,38701,39815,41401,42497,43064,44989,46414,48065,48508,48941,48032,49753
"Trosa",23235,24355,26287,27896,29239,30896,33877,34379,35977,38153,39157,39855,40394,42344,44167,45199,45089,45677,46632,48194,48425,48914,48435,
"Odeshog",17086,18419,20322,22094,23199,24204,25511,26891,28970,29960,31985,32224,32759,33576,34242,35375,35646,37008,37600,39184,40369,41593,43240,45829
"Ydre",16143,17619,19743,21218,22322,24863,25506,27383,29292,31051,32611,32947,33007,33978,36247,36724,37293,38674,39657,41526,41718,42952,44802,47725
"Kinda",18987,20163,21533,23177,24380,25256,26082,27498,29498,30659,32075,32364,33533,34201,34698,35646,37067,38240,39579,41205,41903,43022,42657,45557
"Boxholm",18875,20406,23674,24542,26019,26271,26715,28231,30173,31760,32954,33647,35853,36324,36366,37268,37859,39174,41163,42315,43499,44753,44811,46546
"Atvidaberg",20391,21949,23817,25697,26630,27405,28873,29871,31438,33325,34826,35238,35329,36462,36679,37520,38606,39959,41575,43081,44561,46250,46791,48631
"Finspang",22421,24001,26241,27843,28952,29798,30366,31511,33254,34794,36293,36095,37341,38371,40325,41124,41825,43065,43584,45054,45470,46673,46941,48963
"Valdemarsvik",18758,20076,22105,24082,24351,25387,26344,27879,29499,30708,32537,33428,34131,36005,37045,36992,37162,38309,40025,41078,41971,43251,43111,45695
"Linkoping",21726,23365,25420,27249,28664,29891,30409,30886,32416,33341,34723,34367,34709,36040,36372,37495,38416,40201,41729,43174,43778,45017,44808,47646
"Norrkoping",21706,23097,24824,26322,27455,28445,29232,30111,31786,32702,33907,34085,34563,35833,36000,36787,37825,39237,41364,42916,44034,45308,45578,47829
"Soderkoping",20949,22449,24011,25937,26786,27645,27775,29915,31820,33419,34894,35226,35509,36901,37303,38231,39045,41047,42698,44650,45337,46819,46274,48380
"Motala",20889,22022,23931,26257,27120,27972,29024,30079,31647,32488,33911,34128,34397,35517,35541,36008,36732,38284,40887,42483,43187,44389,44223,46530
"Vadstena",21278,22813,24859,26714,28151,29327,30192,31157,32681,33636,35352,35756,36399,38102,37991,39216,40259,42027,46807,47841,47894,49338,49197,50937
"Mjolby",19936,21602,23468,24711,25813,27339,27850,29145,30658,31515,32872,33185,34043,34811,34823,36258,39305,41092,42936,44229,44911,45866,45471,47656
"Aneby",17071,18921,20464,22656,24561,25399,25820,27561,30231,31803,33518,34320,34968,36404,36943,38942,38978,40135,41872,42636,43411,45113,45254,47154
"Gnosjo",19505,21529,23845,26394,28457,31333,32166,32950,34718,36276,36982,38600,38572,38870,39398,41732,41677,42963,44383,45857,46612,48728,48955,51304
"Mullsjo",18947,21176,23337,24853,25859,27057,27528,28582,30711,33325,34864,35488,35711,36275,36776,38760,38705,39944,40879,42195,43309,46432,45613,47060
"Habo",17248,18745,21374,23458,24851,26604,28796,29350,30211,31328,32665,34018,35406,36661,37653,40567,41117,42000,43095,44318,44448,45656,45846,48364
"Gislaved",20622,22665,24467,26254,27819,28861,30376,30716,32516,33765,34654,35965,36339,37456,37955,39903,40716,41405,42838,44202,45116,46317,46642,48969
"Vaggeryd",19883,21481,23173,25285,26633,27307,27296,28785,30361,31527,33152,33792,34208,33991,35737,37781,38321,39400,40712,41807,43381,44082,43885,45805
"Jonkoping",20356,21891,24425,26211,27757,28930,29778,30598,32387,33394,34937,35951,36414,37445,37928,39697,39937,41465,43442,44789,45630,47600,47595,49901
"Nassjo",20523,22064,23722,25315,26383,27243,28096,29403,31105,32454,34001,34675,35344,36111,36555,37645,38458,39382,40636,42042,43101,44485,45318,46959
"Varnamo",22364,24137,25780,27395,28714,29624,30146,30793,32642,34229,36061,36675,36987,37061,37449,39269,40443,41789,44162,45669,46658,48235,48493,50702
"Savsjo",18441,20244,22012,23510,24370,25840,26016,27461,29278,30928,32204,32642,33310,33763,34813,35887,36269,36945,38200,39365,40659,41951,41747,43854
"Vetlanda",19357,21147,22947,24754,26334,27210,27918,29446,31451,33051,34876,35227,35872,35744,36421,37888,38230,39271,40955,42459,43357,46031,45603,47177
"Eksjo",20676,22492,24168,25971,27159,29049,30021,31297,33243,34662,36805,36918,37456,38469,38924,41237,41382,42362,43745,45327,45545,46494,46000,48560
"Tranas",19657,21375,23387,25171,26501,27835,28207,29653,31302,32474,33402,33825,34446,35453,35743,36838,36859,38550,39532,41098,43237,45047,44593,47021
"Uppvidinge",20616,22040,23845,26072,27141,27790,27950,29200,31857,32981,34562,35269,35841,35551,36706,37332,37781,37777,38680,39654,40913,42754,43662,45744
"Lessebo",20124,21919,23903,25446,27051,27747,28521,29404,30862,32677,34160,33576,33676,35622,36296,36562,36244,35477,35373,36439,37252,39061,38972,41557
"Tingsryd",19137,20889,22509,24349,25392,26145,27061,28607,30500,31761,33330,33829,34313,34862,35671,35934,36306,36808,37997,38712,39624,40770,42502,44520
"Alvesta",19467,21006,22898,24549,26422,27380,27940,29511,31372,32676,34246,34387,36137,36560,36705,37273,37532,38045,39090,40243,40656,42264,41696,44035
"Almhult",17865,19557,21745,24046,24877,27696,28717,30146,32178,33975,36868,35810,35976,37566,38920,41891,42441,42563,43922,45435,45734,48203,46909,50110
"Markaryd",19230,21029,23109,24716,26171,26967,27023,28278,29691,31033,32586,32590,32278,33161,33780,34299,34803,35501,36236,37640,38171,38947,38919,41438
"Vaxjo",21940,23603,25450,27386,28316,29354,29683,30633,32271,33595,34580,34869,35195,36197,36726,37711,38334,38565,40095,41191,41824,42733,42871,44992
"Ljungby",20154,21721,23492,24931,26193,28205,28643,29647,31507,32712,34334,34712,35342,36123,36637,38842,39290,39549,40652,42079,42728,44307,44154,46649
"Hogsby",18517,20443,22458,23889,24537,24365,25746,27726,29312,30482,31694,32538,33285,33666,33528,33821,33497,34087,34447,36132,36722,39046,39426,42658
"Torsas",17679,19096,20939,23133,24540,25435,25922,27829,29881,31153,32973,33210,33593,34525,34717,35623,35614,36339,37676,39317,39744,40467,39819,42084
"Morbylanga",18689,20072,21840,23755,24811,27151,27929,29369,31297,32274,33500,34067,34696,36011,36651,37619,38397,40282,41618,43323,44346,44871,45341,47153
"Hultsfred",21269,22715,24405,26137,26475,27444,27727,29300,31124,32301,33964,34408,34975,35808,36055,36186,36240,36968,36779,38822,39777,41346,41007,43320
"Monsteras",21280,22697,24780,26274,27321,28151,28588,30196,32163,33127,35273,35929,37084,37991,38412,39147,39115,40266,41181,42660,43342,44971,46623,48977
"Emmaboda",22386,24175,25865,27363,28015,28961,29136,30552,32657,33851,35806,36217,36518,37579,37605,38231,38273,40093,40286,41932,41483,42905,43899,46030
"Kalmar",21220,22651,24738,26570,27874,29249,30100,31065,32614,34090,36135,36636,37010,38388,38698,39859,40084,41703,43245,44725,45629,46815,46474,48732
"Nybro",21320,22865,24561,25861,26377,27109,27437,28828,30826,32680,34769,34650,34785,35638,35731,36498,36653,37708,39098,40463,41367,42353,42129,44240
"Oskarshamn",22194,23767,25746,27610,28681,29964,31580,32699,34825,35959,37774,38717,39361,40345,41269,42187,42592,45265,47817,50081,49615,50723,50164,51389
"Vastervik",20703,22345,24435,26289,26963,27916,28369,29571,31471,32303,34184,34155,34924,36225,36489,37259,37664,39066,40426,41968,42209,43319,43083,45008
"Vimmerby",19613,21102,23120,24360,25642,27005,27447,29076,30851,31871,34704,34923,35493,36593,37126,38147,38897,39860,42067,43504,44170,46182,45968,48401
"Borgholm",17747,19057,20631,22725,23580,24332,24773,26964,29250,30299,32329,32785,33463,35024,34884,35351,35791,37681,37703,39885,40967,42596,42187,43816
"Gotland",18610,19670,21384,23142,24096,25319,25793,27208,29529,30609,32113,32217,32763,34221,35437,36152,37372,38971,40240,41593,41998,43048,42728,44658
"Olofstrom",22555,24282,26366,28357,29209,30110,29638,32058,33821,35395,36819,37187,37029,37047,37713,39214,39611,40659,41722,43096,44397,45993,45926,47131
"Karlskrona",21011,22502,24406,26462,27965,29154,29989,30881,32475,33649,35460,35338,35219,36429,37721,38946,39543,41878,43326,44831,46106,46804,46658,49045
"Ronneby",19814,21333,23197,25024,26392,27986,28667,29705,31547,32699,34479,36059,36409,37417,38229,39255,38920,39897,40488,41245,42043,42843,42689,44984
"Karlshamn",22827,24138,25910,28188,28875,30696,30823,31951,33498,35100,36809,37259,37174,37956,38913,40127,40528,41575,42910,44603,45654,46159,45860,49684
"Solvesborg",20266,21912,24092,25868,27474,29102,29578,30833,32866,33778,34829,35160,35840,36609,37526,39283,39558,40658,41629,43646,44797,45431,45627,47560
"Svalov",19031,20216,21804,23277,23915,24390,24663,25559,26984,28182,29738,30569,31734,32924,33705,34373,34655,36049,37062,38964,39838,40525,41217,42651
"Staffanstorp",22223,23324,25096,26870,28332,29929,30818,31248,32703,32433,33746,33960,34059,35944,36606,38218,38341,39996,41749,42783,42590,43922,43623,46555
"Burlov",20664,21854,23023,24167,24785,26829,28110,28020,28887,29234,30198,29903,30257,31600,32236,32986,33467,34469,35789,36267,36941,36534,36207,38505
"Vellinge",22488,24039,26234,28328,29931,33050,34706,34862,34918,36414,38304,39258,39110,40284,41747,43153,43458,44727,46363,47844,47960,49638,50253,52675
"Ostra Goinge",19679,21394,22953,24802,25910,26113,26497,27410,29458,30491,33565,33993,34175,33940,34514,35160,35093,35947,36173,36749,37225,37579,37373,40051
"Orkelljunga",16389,18049,19683,21141,21566,22065,22631,23550,25420,26261,27264,27184,27713,28459,28771,29381,29667,31801,32446,33819,34508,35296,34618,36829
"Bjuv",20162,21431,23098,24466,25428,25573,26771,27213,28507,28765,29875,29885,30530,31536,32322,33346,34045,35141,36077,37241,38226,39381,38786,40592
"Kavlinge",20148,21651,23077,24698,25805,26969,27677,27645,29058,30566,32403,32945,33544,35079,36485,37905,38600,39658,41047,42248,42561,43760,43871,46486
"Lomma",24691,26042,28060,30056,32318,33632,34978,35103,36298,37568,39349,40143,40747,42038,44258,46478,47227,49198,51236,53327,53748,55834,56821,60021
"Svedala",21118,22594,24572,26357,27409,28787,29301,29962,31337,32681,34140,34419,34756,36414,37863,39310,39370,40719,42054,43042,43246,43446,42869,44953
"Skurup",18678,19662,21532,22854,23960,24808,25365,26246,27664,29047,30805,31144,31303,32386,33345,34285,34850,36471,37449,39735,40380,41690,41120,42608
"Sjobo",16209,17250,18877,21134,21601,22821,23314,24665,26306,27093,29372,29783,31125,32592,33612,35008,35873,37529,38915,40070,40776,42011,41476,44207
"Horby",16348,17315,18897,20891,21453,23103,23585,24370,25947,26920,28363,28882,29605,31012,33072,34378,35467,36796,39028,40035,40470,42243,41921,44527
"Hoor",19271,20529,22231,23203,24395,26485,26307,27399,28771,30239,31189,31676,32095,34344,35882,36827,37686,38660,40256,42002,44691,46082,45905,47729
"Tomelilla",16994,18797,20639,22186,23043,23291,24029,25589,27244,28240,29630,29791,30287,31449,32836,33556,33633,34873,35629,37383,37859,38846,38748,40663
"Bromolla",20873,22150,24420,26339,27408,29433,30067,31152,32579,33699,35526,35176,35498,35737,37117,37449,37943,38787,40146,41660,42177,43451,43298,47613
"Osby",19210,21128,23300,25451,26759,26888,27937,28791,30384,31091,33009,32969,33359,34351,36019,36559,36701,38353,39579,41644,42600,44416,44017,46248
"Perstorp",20436,22160,24359,25994,26622,27254,26919,27904,29925,31073,31654,30894,31094,31487,31853,32315,33051,34286,34773,36267,36254,36935,36780,38273
"Klippan",18740,20501,22388,24009,24426,24328,24592,25825,27482,28111,29532,29507,29779,30436,31427,31968,32753,35027,36073,36905,37891,39022,38949,41442
"Astorp",19057,20151,22049,23214,23563,24045,24828,25840,27018,27343,28277,28428,29306,30193,31123,31604,32269,33564,34252,35206,35790,37146,36557,39046
"Bastad",18502,20484,22798,24871,26179,26867,28245,29897,32158,33646,35318,36365,36711,37933,39115,40026,40550,42236,42938,44381,44556,45395,44520,46960
"Malmo",28996,21532,23289,24898,25921,26578,27118,27794,28963,29768,30901,30616,30722,31764,32304,33245,33739,35715,37166,38778,39577,40696,40696,43421
"Lund",21999,23605,25477,27558,29031,30471,31043,32699,34258,34676,36042,36437,37011,38385,39366,40559,41775,43362,44804,45992,46520,47358,47674,49957
"Landskrona",20469,21565,22954,24013,24799,25531,25675,26339,27582,28498,29733,29948,30219,30728,31334,32003,32738,33960,34983,36326,36814,38126,38186,41110
"Helsingborg",20693,21937,23595,25330,26522,27541,29106,29924,31540,32652,34040,33906,34511,35646,36439,37405,37684,38843,39827,41378,42184,43235,43088,45783
"Hoganas",21889,23243,25378,27270,28145,29277,30136,30633,32170,33755,35319,35821,36395,38037,38649,39924,39884,41577,43067,44818,45151,45656,45171,47106
"Eslov",20763,22118,23307,24201,24570,25343,25150,25818,27391,28308,29783,30358,30949,32185,33127,35081,35630,36885,38354,40620,41185,42173,41683,43716
"Ystad",19602,20871,22470,24432,25527,26389,27488,28694,30665,31189,32840,33156,33646,35377,36552,37476,38415,39999,40976,42471,42828,43848,42999,44999
"Trelleborg",19171,20148,22154,23701,24763,26751,26767,27487,29098,30081,31210,31372,32257,33372,34548,35458,36380,37561,38735,40159,41028,42104,41776,44225
"Kristianstad",21153,22960,24560,25940,26920,27425,28073,29209,30772,31817,33145,33321,33411,34536,35451,36262,37565,38893,40511,42086,42949,44005,43591,46025
"Simrishamn",19334,20650,22930,24416,24917,25148,25820,27494,29246,30522,31827,31904,32509,34587,35441,36360,36490,37823,38180,39921,40956,42437,41435,43144
"Angelholm",18993,20368,22129,23837,25133,26226,26825,27890,29433,30835,32480,32871,33246,34630,35419,36579,38296,39981,41202,43502,44499,46235,45567,47439
"Hassleholm",19374,20972,22693,24177,25714,25930,26170,27344,28970,30070,31468,31515,31957,33084,33862,34700,35695,36807,38060,39651,40677,41996,42224,44224
"Hylte",18967,20984,22717,23984,25360,26321,26297,28002,30506,32143,33363,33294,33945,35034,36569,37255,36886,36901,36537,37783,39107,41085,41237,42796
"Halmstad",19318,20633,22360,23811,24728,26294,27000,28084,29988,31330,32720,32953,34682,35844,36347,37108,37545,38841,40154,42613,43418,44473,44067,46461
"Laholm",16779,18244,19695,21388,22337,23251,24749,26018,27803,29170,30720,31794,32575,33431,34448,35301,36024,36875,37791,38945,39391,40127,40313,42318
"Falkenberg",18341,19746,21535,23245,24128,24758,25213,26605,28484,29764,32339,32946,33373,34589,35455,36525,37086,38479,39513,41137,41880,42665,42260,44265
"Varberg",19328,20850,22557,24219,25278,25485,26861,28051,29914,31347,32925,33109,34038,35605,36247,37427,38393,40115,42111,43564,44097,45066,44989,46846
"Kungsbacka",22666,24132,26158,29480,31318,32960,34525,35156,37128,39068,41348,41824,42163,43196,44527,46633,47603,49563,51639,53017,53806,55227,55948,58878
"Harryda",23039,25071,27413,29756,31537,32854,33621,34169,36151,37531,39093,39426,39754,41343,41968,43686,43959,45915,48071,50528,51383,53088,53381,55141
"Partille",23731,24888,27281,29407,31138,32657,33269,33862,35396,37093,38913,38758,38218,38899,39376,41107,42186,43779,45961,47543,48458,49112,49541,52372
"Ockero",20461,22101,24269,26299,27381,28621,30940,32051,34537,36322,38475,39252,38899,40194,40646,42474,43429,45184,47370,50093,51263,53063,53857,56839
"Stenungsund",23835,25261,27054,28573,29297,31245,31933,33788,35593,37475,39239,39740,40073,41676,41841,43949,44624,46698,48722,50808,51857,53417,53725,55258
"Tjorn",20563,21848,24541,27121,28163,29537,30614,33397,36136,37935,40008,40421,40870,42590,43111,44146,44918,46577,48095,51379,52294,54193,53674,55975
"Orust",20020,21684,23801,25596,26655,27908,29001,31121,33280,35245,36769,38311,39355,41022,41135,43846,43988,46103,47435,51218,52348,52544,51321,52373
"Sotenas",19810,21567,23724,25477,27695,29553,30698,31934,33845,35202,37197,38408,39433,40964,40405,41710,42424,45729,46865,49637,51327,52682,52141,53534
"Munkedal",20327,22357,24308,25352,26473,27281,28359,29912,31778,32758,34499,34604,35347,36033,36541,37552,38220,39648,42319,44393,45130,46194,45497,47865
"Tanum",17919,19663,21508,23227,24113,24944,26347,28678,30690,32159,33501,33672,34476,35360,35552,36643,37534,38825,39881,41645,42470,43494,42942,45348
"Dals-Ed",20093,21495,22766,24405,25733,26831,29620,31304,32610,33519,34476,34481,35000,35751,35230,34831,35231,36385,38611,40077,40222,41797,42205,44729
