"region","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Fargelanda",20031,21700,24063,25745,26410,27158,27414,28910,30603,31407,32405,32346,32977,36256,36506,37427,36466,37837,38510,40011,40921,42371,42084,44701
"Ale",22901,24176,26598,28090,29388,30586,31201,31899,33571,34624,36339,37516,38262,39516,39775,40665,41255,42650,43817,45444,46116,47810,47842,50844
"Lerum",23564,24980,27115,29262,30745,31891,32791,33873,35402,36667,38289,38935,39551,40758,41039,42760,43476,45284,46844,48221,48846,50361,50451,52991
"Vargarda",18512,20693,22027,23966,26088,27356,28442,29307,30487,31248,32934,33683,34286,34911,35461,36316,37367,38565,39969,41105,41731,42895,43245,44820
"Bollebygd",22287,23616,25995,27914,29908,30993,31530,31739,33660,35487,37555,38715,38456,39417,40085,41916,42293,43829,44539,45886,45857,48321,49044,51465
"Grastorp",19338,20698,22232,23953,25463,26709,28264,29835,31011,32041,33473,33894,34682,36329,36799,37409,38326,39165,40476,42328,43825,45278,46737,48699
"Essunga",16692,18254,20052,21552,23124,24251,25596,28070,29932,31509,33001,33285,34542,35513,35598,36676,36893,37700,39690,40939,42069,43037,41923,44081
"Karlsborg",20581,22197,23590,24963,26085,27489,28592,29797,31447,32769,35059,35472,35970,37592,38100,38321,39794,41689,41981,43475,44099,45431,44982,46808
"Gullspang",20493,22148,23783,25205,26338,27074,28275,29724,31872,33115,34536,34245,34758,35664,35881,36715,36423,38023,38345,40333,41204,41850,42376,44960
"Tranemo",19595,21332,23207,24732,25747,27365,27500,29212,30927,32465,33949,34829,35432,35742,35625,36577,37201,39495,40292,42756,43590,44962,44922,46893
"Bengtsfors",21800,23281,25400,27898,28039,29024,29736,30887,32750,33599,34277,33761,34052,35320,35372,35712,36449,38298,38554,40031,41220,43355,43604,46127
"Mellerud",19576,20912,22553,24624,25716,26454,28869,29205,30504,31802,33126,33529,34109,35073,34682,35390,35551,35657,36261,38043,39353,40793,40423,43337
"Lilla Edet",21920,23279,25332,27208,28727,29920,30424,31737,33729,34946,36894,37347,38224,38792,39254,39508,39568,40629,41054,42644,44042,46749,46675,48186
"Mark",19954,21495,23288,25073,26219,27204,27505,28822,30681,32000,33476,33863,34374,35569,36088,37194,37830,39449,40699,42164,42944,44366,45152,46727
"Svenljunga",18685,20103,21993,23839,24499,25884,26322,27731,29468,31074,32625,32638,33913,34532,34746,37121,37666,38373,39495,40651,43162,43853,43711,45441
"Herrljunga",18771,20460,22245,24063,25132,26387,27396,30038,32348,33359,34946,35051,35504,36550,37539,38770,38852,39847,40997,43218,43927,45404,45211,47139
"Vara",17647,19161,21077,22359,23275,24145,25419,27233,29165,30357,31835,33000,33772,34431,35433,36492,37079,38178,39088,41549,42152,43483,43099,45416
"Gotene",20100,21959,24294,25349,26144,27019,28996,30628,31918,32806,34049,35157,35617,36912,37835,39125,39440,40430,41368,43487,44560,46867,46669,48670
"Tibro",19070,20135,22563,24113,24961,25341,27199,28365,29648,30913,32627,33346,33500,33943,33749,34281,35529,36757,37659,39353,39983,41254,41023,43251
"Toreboda",18075,19690,21246,22744,23482,24091,24394,26190,28138,29110,30681,30865,32072,32783,33049,33942,34704,35258,36203,37846,39204,40667,40415,44037
"Goteborg",34122,24902,27118,29161,30449,32068,32917,33654,35420,36899,38098,38313,38711,39275,39563,40892,41624,43114,45107,47110,48246,49774,50377,52911
"Molndal",23067,24700,27643,28891,31197,33250,34252,34853,36607,37573,39289,40012,40030,40998,41591,43010,43709,45307,46750,48104,48074,49256,50817,55077
"Kungalv",22913,24314,26277,28101,29324,32368,33539,34602,36472,37337,38891,39520,39883,41480,42159,43740,44957,46568,48514,49616,50000,50721,50544,52258
"Lysekil",21657,24110,26507,28108,29039,30237,30677,32513,34750,36442,37850,38531,38827,40244,40477,41084,42774,44403,45731,46956,48350,50263,51169,52799
"Uddevalla",21845,23481,25439,27100,28090,29208,30635,31603,33310,34254,35794,35847,36274,37351,37554,38322,39639,41446,42601,44360,45535,47181,47074,49157
"Stromstad",19221,21084,22087,23407,25193,26380,28784,29753,30976,32193,33867,33600,34164,35595,34975,35302,36085,37508,38012,39687,40402,41965,41897,44258
"Vanersborg",23031,24518,26770,28475,29824,30879,31814,33506,35276,36788,38395,38672,38633,39418,39309,39317,39676,40540,41837,43598,44598,46025,45905,48198
"Trollhattan",22642,24387,26914,28831,30028,31176,31769,32086,33530,34636,36163,36100,36160,36491,36548,36841,37616,39714,41400,43263,44229,45675,47320,49788
"Alingsas",21862,23568,25428,27274,28917,30061,31425,31958,33497,34966,36208,36666,37063,38352,38572,39627,40322,41913,43573,45900,46232,47390,47284,49808
"Boras",22441,23887,25687,27397,28429,29471,30027,30820,32529,33849,35063,35246,35581,36463,36862,37906,38580,39748,41663,43272,44115,45570,45880,48126
"Ulricehamn",20055,21513,23234,24800,25874,26828,27618,28853,30724,31976,33119,33374,33731,34664,35818,36772,37888,39246,40352,41465,42498,44114,44492,46498
"Amal",22602,24075,25995,27494,27894,29140,29490,30963,32961,34193,35332,35300,35279,36483,35972,36765,37283,37883,38474,40218,40595,42390,42593,44568
"Mariestad",22281,23731,25536,27232,27576,28311,28176,29497,31411,32500,34912,35223,35530,36615,36698,37489,37997,39309,40616,42348,43415,44697,44320,46160
"Lidkoping",20241,21754,23652,25043,26122,27403,28823,30091,31829,33251,34861,35362,36548,37549,37815,38588,39272,40553,42100,44677,45630,47043,46653,49031
"Skara",21344,22985,24930,26542,27436,28032,28504,29582,31482,33074,34593,34873,35531,36600,36691,36976,37165,39230,40451,42637,43706,45287,46006,48448
"Skovde",20965,22612,24752,26766,27262,27985,29850,30784,32873,34232,35558,35752,36186,36883,37025,38647,40057,41704,43473,44825,45337,46500,48555,51188
"Hjo",20045,21728,23402,25172,25674,27504,28220,29728,31607,32885,34938,34978,35867,36569,36882,37839,38273,39030,40468,42309,42886,44591,44296,46262
"Tidaholm",19336,20637,22379,24004,25009,26064,26548,27913,29287,30336,31545,33663,34231,35295,34864,37489,38209,39382,40541,42259,43405,44837,44771,46651
"Falkoping",19391,20878,22883,24439,25911,26534,26648,27788,29632,31065,32493,33619,34132,34955,35594,36466,37023,38021,39550,40526,41690,42999,43356,45728
"Kil",22164,23737,24873,26383,27459,28820,29545,30860,32741,34185,35390,35340,35606,36566,37225,38238,38931,40587,42332,43697,44579,44549,44325,46475
"Eda",19575,20929,22697,23733,24423,25119,26814,28082,29307,30039,31067,31354,31873,32859,32206,33252,33719,34441,35342,36304,37421,38465,39091,41062
"Torsby",21010,22559,24684,26234,26961,27268,27922,29676,31542,32433,32560,33881,34088,35282,36316,37219,37841,39411,39718,41914,43298,43706,43520,45759
"Storfors",22664,23891,25986,28124,28610,29893,29908,31091,32998,33722,36254,36543,37041,37998,38746,39330,39921,41733,41985,42038,43770,44833,45902,49055
"Hammaro",27162,28547,30312,32188,32992,34145,34726,35919,37104,38894,40387,40449,40655,41993,43489,45178,45689,47117,48579,49608,50037,50647,55852,57641
"Munkfors",24456,26491,27981,28838,29199,29065,29432,31401,33096,34515,35485,34815,34738,35192,36329,36806,37225,37729,38243,39884,40232,41150,41014,43223
"Forshaga",22949,24644,26209,27732,28190,29285,29010,29885,31760,32643,34328,34437,34887,36286,36785,37822,37819,39170,40624,42438,43639,44197,43339,44826
"Grums",23933,25160,27041,28731,29854,30515,30436,31547,33951,35040,36767,36759,36781,37659,38864,39430,39871,40835,41718,43908,44402,44862,45410,47416
"Arjang",18354,20007,21345,22581,23633,24459,25071,26195,27545,28865,29524,29148,29790,30749,30297,31045,32784,34057,34630,35968,36731,36726,37288,40028
"Sunne",19937,21243,22724,24150,25048,26070,26350,28032,29904,31030,32423,32714,33033,34480,35325,36954,37435,38626,39136,41521,42932,43591,43270,45494
"Karlstad",23658,25013,26895,28601,29802,30949,31534,32392,34175,35476,37130,37026,37070,38274,39324,40289,41089,42594,44257,45997,46697,46375,46033,48401
"Kristinehamn",23896,25490,27683,29626,30319,31070,30992,32186,33913,34914,36272,36152,36476,37577,38138,38265,38539,39590,40566,42410,43713,44439,44009,45841
"Filipstad",21029,22605,24888,26672,27578,28930,29290,30607,31646,32994,34365,33868,34099,34968,35346,35779,35986,36942,36597,38206,38554,39697,39380,41170
"Hagfors",22916,24396,26489,28084,29110,29881,30592,32157,34103,35100,36326,36511,37015,37096,38166,38813,39595,40914,41562,44071,44821,45607,45060,46010
"Arvika",20560,21991,23580,24495,25151,25913,26624,27981,29982,30955,32606,32874,33467,34127,34940,35849,36617,37366,38440,40902,41544,41980,42036,46307
"Saffle",21825,23324,25062,26333,27277,27873,29103,30279,32106,33145,34270,34302,34357,35620,36067,36538,37072,38383,38071,39183,40081,41155,41214,42796
"Lekeberg",18587,20512,22757,24338,25626,26597,27967,28790,30860,32016,33724,34772,35173,35912,36214,37491,38019,39634,40094,42402,42820,44355,44478,46940
"Laxa",22249,23754,25718,27709,28994,29784,30258,32287,33887,35448,37080,37198,38580,39586,40197,40703,40849,41254,41413,43452,44299,44714,43849,46148
"Hallsberg",21454,23315,25362,27126,27973,28626,29516,30397,32210,33140,34488,34494,34840,35761,35979,36927,37639,38321,40712,41910,42845,44265,43683,44724
"Degerfors",22277,23787,25845,28293,29396,30410,31046,32486,33644,35029,36630,37719,37721,38388,39178,39725,39924,40929,42271,43318,44078,45209,44483,48161
"Hallefors",22205,23566,25188,26996,27697,28315,28874,30014,32315,33164,35107,35652,36191,36300,36796,37231,37529,37845,38711,39833,41540,42314,41772,43050
"Ljusnarsberg",20941,22711,24479,25959,26477,27406,27864,29246,30741,31442,32456,32575,33843,34789,34584,34192,34638,35213,35994,37691,38735,40160,39673,41651
"Orebro",21475,22793,24665,26426,27631,28774,29355,30160,31767,32974,34302,34253,34768,35881,36081,37152,37742,39266,41811,42912,43396,44541,44902,47670
"Kumla",21289,23022,24944,26654,27741,27967,28014,28633,29762,30549,31625,31910,32110,33729,33851,36199,36981,38474,39992,42989,44207,45533,45392,46653
"Askersund",20324,22008,24538,26307,27410,28104,28783,30369,32357,33731,35391,35992,36266,38068,38757,39487,39849,42309,43660,45874,46177,47038,46446,48638
"Karlskoga",24583,26464,28371,30563,31397,32319,32689,33716,35354,36691,38368,38649,38478,39391,41052,41443,41721,42514,43683,45634,46140,47533,47373,49194
"Nora",22742,24142,25454,26954,29072,28584,29522,31461,33398,34772,36434,37318,37410,38389,38612,39716,40588,41164,42052,44339,45349,46917,46657,48252
"Lindesberg",21559,23204,25139,26667,27196,28561,29612,30894,32877,33994,35293,35819,35837,36542,36873,39671,40341,41028,42291,44097,45060,46860,45882,47473
"Skinnskatteberg",20732,22291,23960,25817,26726,27959,29200,30451,32415,34151,35400,36961,37825,38660,39455,40010,40183,41167,42562,43886,44564,46049,45570,47483
"Surahammar",23689,25463,27942,29469,30662,31667,32039,32832,34776,35816,37524,37680,37955,38807,39726,41143,41246,42173,42793,44579,44914,46036,45338,47420
"Kungsor",24749,26148,27974,29590,30188,30981,30135,31243,33342,35028,37091,37531,37490,37923,39198,39755,39750,40324,41224,42257,42867,44081,43114,44953
"Hallstahammar",23692,25279,27150,28384,29098,29541,30011,31078,32815,33502,34969,34830,35342,35606,36343,37415,38316,39698,41031,42368,42764,43829,43360,45221
"Norberg",22971,24897,28199,28212,29324,29900,30659,31678,34117,35820,37243,37413,37930,38513,39953,41377,41239,42259,42827,45254,45986,48246,47481,48764
"Vasteras",23014,24392,26103,27692,28891,30170,30767,31513,33167,34360,35778,35940,36140,37272,38143,39170,40109,41771,43359,44442,44996,46006,45860,48204
"Sala",21827,23321,24896,26491,27357,28055,28829,30220,31989,33077,34437,34706,35388,36623,37967,38541,38973,40380,41742,43076,43766,45018,44800,46816
"Fagersta",26530,28243,30770,32149,32708,33478,33776,34610,36539,37949,39382,39195,38657,38700,39416,40035,40108,40912,42310,43957,44511,46017,45880,48198
"Koping",22549,24000,26114,27574,28719,29835,30281,31589,33880,35039,36416,36681,37031,37203,38118,39193,39662,40945,42396,43927,44549,46571,46284,47763
"Arboga",22538,23961,25476,27401,28682,29885,30403,31159,32801,33654,35329,35418,35903,36649,37217,37848,38349,39111,42116,43624,43910,45720,45777,48042
"Vansbro",19802,21820,22859,24542,25146,26560,27678,29287,31076,32164,32467,32845,33356,33946,35011,36016,37085,38143,38903,40610,41019,42107,41400,43903
"Malung-Salen",20508,21885,23872,25579,26654,27337,28035,29527,31001,32280,32777,33266,34288,35950,37401,38445,39326,40652,42629,44015,44368,45536,45114,47667
"Gagnef",20826,21550,23575,25328,26444,27526,28874,29646,31652,32794,34750,35297,35622,37113,38568,39805,41050,42432,43749,45347,45159,46588,45961,46974
"Leksand",19682,21315,23422,25125,26473,27410,28137,29663,31721,33397,35043,36525,36776,38237,39525,40699,41594,42854,44238,45948,45099,46132,45490,47604
"Rattvik",20183,21516,23508,24935,25538,26504,27271,28993,30484,31991,33336,33934,34626,35517,36776,37680,38816,40444,41737,43326,43294,44411,43124,45252
"Orsa",19612,21026,22496,24017,24400,24809,26036,27702,29415,30439,31301,32642,32953,34467,35260,35686,36859,39057,39852,41418,41550,42659,42710,45101
"Alvdalen",20232,20300,23303,24856,25571,26154,26715,28360,30324,31197,32328,32830,33741,35098,35626,35957,37124,38703,40439,41841,42835,44295,44331,46258
"Smedjebacken",23564,25113,27554,30101,30614,32330,33197,34476,36327,38034,39216,39150,39588,40834,41761,43044,43620,45024,45789,47450,47279,48878,48516,49985
"Mora",21493,23199,25039,26956,27619,29746,30285,31520,33358,35128,36808,36833,37072,38277,39076,40654,41212,43243,44716,46295,46550,47657,47164,48825
"Falun",23534,24845,26591,28494,29524,30510,32334,33387,35432,37017,38703,38946,38816,40219,41182,42641,43790,45642,47435,48645,47960,49056,48942,51326
"Borlange",23461,24549,26442,28357,29229,30912,31775,32896,34520,35623,36852,36896,37039,38193,38927,39868,40404,41962,43407,45223,44798,45836,45629,47990
"Sater",20603,22048,23761,25791,27907,29360,30073,31185,32788,34057,35966,36853,37256,38830,39950,41280,42220,43484,45047,46947,47618,49093,48287,49616
"Hedemora",21229,22779,24481,26214,27375,28852,29186,30215,32234,33303,35640,36122,36401,37860,38692,40300,41022,41484,42517,44084,44299,45388,44850,46799
"Avesta",23280,24796,26965,29021,29949,30835,32142,33785,35491,36641,38099,38389,38625,39607,41046,41879,41920,41686,42765,44287,44039,45796,45619,48177
"Ludvika",23762,25336,27567,29300,30179,31051,31988,33361,35208,36074,37237,37344,37376,39401,40171,41526,42129,43261,44063,45414,45397,46574,46444,48144
"Ockelbo",20539,21830,24038,25530,26532,28108,28357,29621,31357,33349,34684,36514,37158,37814,39063,40570,41009,41696,42688,43943,44568,45475,45209,47201
"Hofors",24372,25768,28314,29749,30834,31087,31628,32938,34864,36210,38614,39979,40768,40269,41643,43121,43113,44276,45738,46833,47455,48919,49301,50373
"Ovanaker",20281,21866,23579,25216,26285,27209,27713,29259,31111,32211,34079,34741,35123,35721,35980,36879,36963,37929,38783,40344,40764,42479,42036,43841
"Nordanstig",19703,21316,23514,25455,26043,26752,28147,30266,31343,32187,33501,33884,34254,35455,35569,37158,37691,38781,40286,41940,42785,44003,42829,44642
"Ljusdal",21115,22224,24041,26009,27156,28108,28771,30575,32334,33494,33385,34297,34511,35675,36133,36963,37644,38882,40263,41699,42395,43411,43307,45584
"Gavle",23945,25367,27167,28938,30152,31071,31513,32444,34284,35632,37130,36927,37229,38663,39639,40407,42076,43831,45471,46982,47927,49060,48803,51192
"Sandviken",23854,25450,28336,30263,31171,31155,31885,33156,34995,36637,38611,38613,38522,38493,39125,40945,41152,41798,42697,44055,44805,46047,45519,47650
"Soderhamn",22078,23476,24880,27129,29547,30378,30070,31196,32900,33616,34584,34742,35143,36590,37125,37942,38259,39105,40265,41893,43159,44261,43610,45443
"Bollnas",20473,21738,23989,26385,27242,27787,27402,28502,30348,31205,32620,32606,33061,34288,34400,35376,37299,38557,39288,40962,41591,43147,42764,44708
"Hudiksvall",21598,22836,24711,26469,27489,28369,29601,30542,32298,33413,34873,35271,35431,36959,37377,38807,39342,41026,42431,43819,44455,45906,45645,47375
"Ange",22957,24387,26419,28212,28957,29811,30163,32091,34027,35679,35824,36927,37226,38864,40220,41344,42749,43271,44561,45741,47097,48691,48411,49938
"Timra",24739,25923,27695,29819,30784,32043,32370,33402,34900,35962,37277,37789,37524,38594,39419,40126,41690,43220,45113,46442,47221,48983,50877,53061
"Harnosand",25164,26767,28831,30781,31511,32207,32511,33477,35562,36796,38476,38399,38858,40196,41060,41265,41770,42799,44041,45712,46883,47609,46800,48721
"Sundsvall",25584,27303,29425,31379,32499,34001,34671,35384,37017,38541,40341,40157,40412,41591,42433,43503,44917,46956,48635,50260,51359,52449,52366,54652
"Kramfors",22980,24734,26735,28790,29705,30393,30662,32301,34438,35598,36873,36805,37541,38847,39742,40026,41370,42491,43357,44741,45407,46815,46189,47740
"Solleftea",23641,25230,27113,28819,29889,30382,30591,32087,33868,35198,35640,36564,36884,38445,39178,39568,40275,41607,43127,44732,45931,47436,46633,48073
"Ornskoldsvik",22110,23625,25906,27706,28905,30029,30662,31917,33907,35424,37045,37801,38121,39677,40380,41958,43166,44607,46293,48024,49008,49718,49374,51829
"Ragunda",22434,23845,26331,28621,29513,30989,30165,31929,33591,34731,35212,36882,36836,37918,38549,38933,39406,40475,42060,42889,43841,44966,44520,46094
"Bracke",20591,25997,23895,29156,29360,29663,28048,29828,31233,32572,34263,35618,35689,36874,37655,38568,40561,40937,42072,42634,43605,45271,45205,46719
"Krokom",20368,22059,23893,25757,26844,27593,28689,30006,31674,32805,33317,34344,34577,36006,37260,37911,38863,39955,41394,42756,44108,45179,44693,45859
"Stromsund",21066,22748,24843,26828,27789,28726,28731,30122,32252,33425,33877,35402,35739,36135,36804,37283,38697,39866,40594,42451,43262,44524,44287,46112
"Are",19488,21114,22675,24359,24999,25909,26450,27423,29359,31104,31879,33299,33993,35546,36395,37386,37374,37846,38409,40009,40677,42822,42094,44399
"Berg",18725,20327,22311,24364,25489,26376,27074,28995,30602,31730,32169,33369,33934,35131,36035,36199,37975,38428,39701,40149,40715,42270,41387,43339
"Harjedalen",21369,22925,24947,26891,27783,28873,29492,31016,32472,33575,33814,34823,35389,36799,38172,38342,38768,39173,41064,42982,44700,45671,44932,46568
"Ostersund",23010,24470,26764,28612,30239,31366,32499,33425,35330,36559,36949,37862,38009,39489,40316,40825,41282,42182,43689,45057,45888,46940,46966,49200
"Nordmaling",21697,22924,24569,25641,26821,27724,28652,29871,32255,33770,35522,36199,38342,38813,39859,40217,39888,41624,42550,44899,45777,46419,46127,48048
"Bjurholm",18726,20463,21877,25419,26589,27294,27166,29189,30770,31872,32128,32040,32695,34244,35173,34677,35430,36406,38195,41212,42349,44087,43096,
"Vindeln",19823,21484,23622,25129,26512,27814,29320,30627,32595,33753,34238,35795,36215,37024,38281,39400,39665,40964,43134,44218,45173,46282,44781,46407
"Robertsfors",19449,21052,23149,24369,25757,27095,27662,29204,31204,33338,34561,35210,35412,36668,38635,39341,40012,41238,43345,45379,45478,46192,45951,47901
"Norsjo",22851,23770,25765,27538,28568,29552,30007,31455,32860,34383,35141,36879,36570,37873,38937,40212,40800,41805,43666,45457,46236,47236,46312,48542
"Mala",23022,24602,27940,28905,29719,31166,32558,34138,36316,37474,37760,39250,38445,40411,41532,43143,44927,45649,47341,47993,49266,50348,49779,50250
"Storuman",20889,22232,24474,26148,27038,28181,28343,29643,31525,32485,34227,35665,36380,37807,38791,39504,39976,40976,42676,44273,45019,46311,45379,47579
"Sorsele",20072,21280,23762,25409,26613,27813,28065,30501,31573,33319,33998,34633,34321,35238,36399,37417,39007,40484,41757,43118,43316,46174,46542,48492
"Dorotea",20992,22266,24176,25953,26494,27465,28370,30451,32883,34084,34922,35783,36110,36470,38034,40152,40568,40946,42751,45555,47150,47737,46992,49255
"Vannas",22068,23377,25623,27695,28495,29241,29645,30575,32597,34335,35631,35923,36225,37597,38333,40081,40645,43580,45697,46897,47227,47902,46813,49135
"Vilhelmina",20973,22147,24237,26002,26752,27335,28180,29769,31212,32347,32128,33110,33628,35454,35916,36431,37703,38582,40492,41889,43051,43869,44735,47258
"Asele",21587,22612,24854,26689,27356,28185,28876,30401,31426,32093,32940,33709,34825,35683,36856,37983,39254,40140,40227,41860,42739,43308,43032,45094
"Umea",23510,24575,26968,29070,29957,30952,31336,32048,34316,36017,37741,37980,38199,39528,40806,42312,43374,45165,47013,48361,48984,50115,49883,52504
"Lycksele",23515,24462,26225,27829,29150,30090,30837,31529,33531,34990,35635,36984,37330,38798,39727,41368,42692,43970,45538,46414,47053,47829,46689,49034
"Skelleftea",23488,24746,26940,28683,29714,30470,30904,31845,33758,35196,36809,37451,37929,39258,40181,41143,42648,44400,46046,47655,48882,50145,49492,51579
"Arvidsjaur",20823,22506,25060,26257,27254,28064,29846,31225,33290,34385,35417,36165,36762,38395,39534,40181,42184,43516,44733,46837,48195,50662,50086,52078
"Arjeplog",22165,23597,25611,27446,29155,29171,29335,31311,32833,34130,33602,34417,34392,37817,41198,44048,45887,46713,47966,49524,51147,52011,51266,52993
"Jokkmokk",21980,23758,25180,27437,28712,29131,29779,31180,32996,34410,34748,36570,37303,38929,39633,41711,42176,44816,46319,47519,49260,50601,50659,52877
"Overkalix",21975,23570,25880,27789,28887,29694,30215,31651,33046,33619,34660,36259,36742,38231,39011,40470,41545,43134,44215,45922,47044,47248,46492,47862
"Kalix",23481,24998,26768,28666,29157,30189,30872,32171,33930,34926,35884,37375,37865,39252,40281,41421,42443,44225,45783,47502,48303,50121,49419,51150
"Overtornea",19031,20604,22652,24492,24968,25421,25983,27258,29295,30213,31154,32715,33431,33473,34063,35478,36549,38300,40173,41943,42270,43838,43523,44759
"Pajala",20144,21301,23414,25313,26008,26824,27910,29734,31305,32530,33307,34546,34370,35322,36649,37600,39216,43814,47259,47184,46862,45806,46209,47584
"Gallivare",26233,27831,30321,32075,32800,33528,33631,34688,36906,38832,40592,42450,43008,44575,47535,49379,51174,53896,56623,58351,58960,59511,59818,61803
"Alvsbyn",22751,24083,25942,27414,28119,28792,28982,30827,32525,33690,34436,35367,36320,37453,38361,38975,39875,41235,42701,43779,45461,46666,45878,48429
"Lulea",24542,26053,27880,29471,30632,31732,32987,33687,35229,36893,38706,38856,39283,40695,42081,43406,44436,47149,49144,50988,51371,52996,52526,54915
"Pitea",23569,24883,26728,28474,29395,30429,31157,32089,33932,35211,37262,37820,38313,39689,40649,41794,42739,44845,46563,48264,49246,50269,50115,52566
"Boden",25275,26546,28097,30703,31524,32335,31667,32625,34490,35772,37484,37626,37707,38743,40024,40768,42601,44240,46378,48053,49331,50718,50545,52448
"Haparanda",19945,20818,22594,24231,24761,25187,26462,27894,29354,30241,30411,32110,32668,33980,34826,35922,37253,37708,38685,39915,40663,42092,41424,43715
"Kiruna",27086,28598,31015,32883,33977,35187,35683,36126,37829,39780,41724,43865,44378,45204,48495,50963,53086,55572,57456,58860,59001,59807,60084,62757
