region,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Ale,-658,-294,1951,1061,450,587,24,841,1679,935,1369,1284,2334,1727,1436,1335,1259,1426,1027,1289,1298,3026,3941,3891
Lerum,-149,-442,335,1429,766,568,1707,1481,1822,1026,1033,1199,503,-244,184,1497,1601,1012,1178,697,983,1262,2410,6955
Vargarda,-13,261,394,603,717,248,410,342,137,104,-284,1040,854,502,858,1422,569,951,986,2012,826,13,1973,2459
Bollebygd,-120,-72,-978,430,499,-608,-848,1217,1675,1665,738,238,716,185,377,1030,815,2421,4132,3593,2862,232,2092,5855
Grastorp,309,-612,1053,535,71,-1234,-828,1888,1574,1016,1003,1053,479,1309,721,1147,1203,2338,1127,2281,1067,2115,4771,3426
Essunga,71,631,-25,941,46,125,1021,1445,1558,448,211,44,942,870,1069,1277,-468,1184,1721,1822,382,341,766,1790
Karlsborg,-1478,-3382,-518,-354,529,990,1224,371,1097,2684,1768,1064,521,703,1178,1018,2123,1466,2744,3039,1736,1289,2138,3501
Gullspang,-1396,11,-220,87,-1632,-1268,-922,496,1906,1159,-879,1068,1197,2293,1983,2446,1322,1320,1347,1754,-797,-2926,2375,3988
Tranemo,304,255,871,844,673,810,321,1425,758,1238,556,705,54,386,410,210,152,1196,1041,1771,352,525,1395,2824
Bengtsfors,-1165,-1944,458,-446,-278,768,532,661,15,35,178,252,59,-835,1728,1656,64,1872,3227,1142,-716,-2067,7974,1816
Mellerud,-502,-1122,-987,-574,98,-730,396,2010,1256,671,1178,795,548,1225,1726,1776,2155,1826,4898,2918,606,587,1760,5147
Lilla Edet,-467,-248,-641,-714,572,-123,-434,26,487,265,-51,338,406,527,166,52,-656,-656,-1086,1988,537,-1122,3024,4941
Mark,613,108,427,400,1419,754,253,313,844,1079,870,13,1047,396,1778,2586,1239,2025,2932,2411,1036,1387,1563,3034
Svenljunga,-955,-939,-173,2895,1267,312,-421,709,156,722,-2466,-98,1188,-1297,-1824,107,601,2359,654,677,1947,1222,3732,3165
Herrljunga,-268,-376,71,408,976,-208,-767,1278,572,18331,-1133,552,834,-599,327,2059,1122,1119,1982,2490,-242,797,2274,2134
Vara,403,415,1613,2121,803,1251,2026,1821,2711,1149,1033,1287,2863,2178,2128,1588,-1767,879,1646,161,422,1009,4242,5648
Gotene,476,102,1606,825,596,200,1155,800,52,46,581,940,164,272,786,1208,203,936,1545,333,2399,1099,2181,5556
Tibro,581,692,779,1153,-987,689,1012,1330,1494,1154,-538,1937,1634,1051,1478,1366,1227,2046,5133,3050,1485,2515,2847,8440
Toreboda,-119,4998,161,414,629,-683,-753,569,183,364,191,581,1090,-410,1921,-303,577,1348,1201,1347,599,-1469,1792,3577
Goteborg,119,-199,865,482,203,689,912,5292,1076,1988,562,1088,446,790,1272,17993,724,1502,1686,3773,3133,2596,4129,4414
Molndal,-505,-419,12880,38,527,205,385,882,1975,960,580,1546,3777,1408,2732,1875,1275,4166,3979,1688,987,4148,5636,8870
Kungalv,172,-253,-52,1307,537,720,-256,1005,2033,588,1326,1138,642,492,2297,1470,181,-410,-423,788,1027,1914,3199,8834
Lysekil,-6023,-1962,-1455,-1338,-388,-567,-802,2139,1258,5489,86,898,-37,1277,243,267,943,2470,1277,554,1356,927,3309,2019
Uddevalla,150,164,-20,240,242,214,742,1166,966,1233,447,-3820,1554,1131,1148,1812,1012,1557,2497,1642,702,170,1253,2026
Stromstad,1519,280,208,75,363,1281,1289,1546,1269,698,1463,1478,917,633,1050,2704,981,1121,2874,2471,2261,5442,3978,6035
Vanersborg,733,632,638,353,171,-171,884,1445,1646,1418,720,1299,1329,953,1055,777,526,1076,1526,1944,134,929,4054,4661
Trollhattan,395,469,661,2458,185,356,128,841,952,1463,968,1105,695,433,1241,766,7,1087,1873,1622,-238,611,4992,4412
Alingsas,-935,-1045,70,584,254,382,7196,1996,2039,1693,720,2683,2431,989,1269,1049,1033,914,48,2547,1050,1846,3559,4180
Boras,1198,319,1352,1424,627,779,1477,1585,1811,1817,830,321,781,998,2196,1781,1465,1474,1076,1782,2834,872,2497,4134
Ulricehamn,773,1136,1960,1647,938,302,-729,710,1638,868,80,135,6435,796,2351,2505,1246,2061,2437,3110,1380,2245,2406,4152
Amal,-603,2,-202,264,52,76,81,68,288,22,-238,-556,873,460,1754,-1383,-106,2814,3197,1656,-171,102,943,2282
Mariestad,-1472,-597,534,-161,-237,10,-685,246,470,-201,273,796,375,631,1517,2369,-173,284,437,703,1070,742,1747,3907
Lidkoping,1492,1083,2274,-975,-8741,3485,1524,3499,4976,932,-7042,4289,4379,-418,560,103,-4553,564,3122,1347,2289,10708,6288,19399
Skara,1375,529,1155,1552,531,15,327,-1551,2074,-39,802,2034,937,446,146,2190,764,2011,3840,1297,-6,-142,2651,3449
Skovde,337,84,1533,690,-111,-1097,809,1001,1345,558,689,922,16849,841,983,2383,1912,1455,2807,909,294,2671,5305,5930
Hjo,-260,246,1131,565,-381,-497,540,4925,360,823,-384,1726,1124,2548,569,1700,1623,984,1486,1342,1471,927,1255,2760
Tidaholm,1077,912,2263,1835,-3091,864,913,1321,1942,633,568,2041,1496,262,575,-9478,28,2867,5589,1287,1350,313,1473,2916
Falkoping,3898,112,-72,15,446,751,643,1216,2073,763,302,736,295,907,2501,2142,716,927,1830,3036,558,1279,3083,3843
Kil,-2571,-671,512,-161,8,300,-617,872,497,277,128,1003,1927,2154,1983,2334,4921,1452,2967,1324,709,919,1549,3719
Eda,-2677,224,1056,1743,97,-114,359,1779,1068,1505,1622,-277,711,-580,205,-418,-192,-1083,832,-360,-3911,-295,1436,1766
Torsby,-3267,-1405,-144,-372,5,137,643,814,932,1275,1090,948,937,228,478,613,779,1169,1410,1452,1189,-992,1612,3009
Storfors,-513,-1388,-370,713,166,511,-568,-213,1676,531,395,116,11,-2242,-1063,-488,-946,707,382,305,83,-3235,405,2287
Hammaro,118,-35,297,223,49,-19,179,1433,981,553,128,445,488,682,192,676,-385,650,1314,1956,-361,575,990,3377
Munkfors,-2505,-1856,-3061,1756,952,-56,-1528,-1249,1794,391,391,280,1826,69,354,488,-293,2473,6786,4045,1858,1743,3187,3560
Forshaga,-108,535,486,-1629,304,929,860,1040,1325,1130,257,621,1058,1083,1376,1103,148,76,133,1781,56,675,2443,3933
Grums,-13,99,924,816,200,-582,-278,1310,811,730,52,641,1025,-550,216,939,1276,1039,1401,794,1425,13,2308,1911
Arjang,-1517,4637,-657,-358,-1018,149,682,821,336,522,34,-167,708,42,270,773,1549,1653,2919,3424,1555,2218,4788,4753
Sunne,-794,-1501,331,704,530,-219,436,1180,1284,900,361,271,581,782,55,267,-86,720,2146,2265,1094,325,1144,1971
Karlstad,276,-55,381,433,818,408,590,3564,1985,1807,1459,1636,2552,1216,2484,1713,645,-1784,1712,2155,541,1139,3183,4735
Kristinehamn,-2604,-2389,-2965,-2035,1312,870,707,792,929,737,680,591,703,669,1967,1506,1014,1390,2423,2414,1853,-300,2975,1058
Filipstad,-1491,-1486,-2853,-4612,202,-345,524,52,926,331,133,537,1594,-138,-293,513,198,123,397,279,288,-2008,-351,1154
Hagfors,-1356,-1327,-2102,-2014,290,13,-2100,354,1239,-642,-651,589,30,-1349,294,2582,1420,1304,1974,1228,1365,801,2941,4459
Arvika,-224,933,1760,246,361,270,5,1025,1501,851,1032,1948,2457,1687,1569,1815,960,2742,1608,2630,1238,3463,4959,7313
Saffle,488,8072,600,-234,-2328,280,1250,1612,2542,1160,-1830,1726,668,367,1120,2530,477,2104,4082,5759,-920,-120,3194,3132
Lekeberg,892,-643,934,782,-1495,-372,306,283,1649,1539,-229,920,1600,823,2061,707,479,275,1319,5238,2927,4534,4442,4821
Laxa,-210,-976,-11867,-1042,240,-8170,1253,113,112,-592,-155,643,501,-1891,-89,1444,1703,2646,5682,2700,2098,210,4413,3197
Hallsberg,-890,-1246,-1462,78,279,-6689,300,279,181,158,363,527,255,139,-919,760,684,466,1477,1950,1830,2671,3703,3944
Degerfors,-195,-817,-4621,-2045,-1141,-410,-1945,1146,1826,866,-1,-1303,-462,56,656,964,-138,80,579,3,331,-4190,-1150,1705
Hallefors,-270,-702,-3239,412,322,-387,-1562,904,237,35,-2655,172,1726,937,2162,115,279,1925,4542,2203,2597,31,2913,4594
Ljusnarsberg,-1428,-1430,-5784,-3376,1745,1297,132,435,1972,1050,10,143,1502,537,2346,3841,4468,4539,7620,4427,4000,5227,4848,2996
orebro,-57,-192,1251,418,-1189,-116,1144,1484,2282,2058,734,2955,1727,785,3642,2273,1455,3579,4020,3672,1847,2613,3706,6513
Kumla,631,235,573,1258,279,-62,804,1246,1612,-1295,75,577,829,1097,3768,2691,708,1582,1570,3781,3539,3578,4989,5650
Askersund,-266,-1537,-171,-502,1880,330,-363,152,1288,1115,790,1117,1262,-414,525,529,-148,1615,3354,8493,949,-678,751,2069
Karlskoga,1507,195,-2976,12,218,28,-2040,1216,1795,2576,-770,547,16132,1845,2569,1622,1253,2556,3904,4000,2271,1381,4462,5077
Nora,-812,-1521,-9069,-909,169,-1068,-453,1540,877,750,375,444,772,638,1718,1080,363,197,782,1755,645,322,2110,2779
Lindesberg,-365,-1024,-196,-260,-461,-1478,2201,35,103,56,510,27,61,26,1642,3510,1943,3671,2373,1531,2068,1464,2828,1013
Skinnskatteberg,203,-290,-158,14,889,-1113,778,-395,626,-466,1261,1249,2300,1816,3074,803,3481,2508,4921,2131,3060,1242,-359,466
Surahammar,-2741,-4531,-914,225,983,38,-4,737,1549,1461,676,262,632,248,404,2034,1909,3404,4577,2852,856,2135,3622,6798
Kungsor,5604,-2098,-1993,188,137,1163,213,52,4776,-61,214,817,144,334,3231,2239,1474,322,1417,2515,1529,940,872,2526
Hallstahammar,10563,-4528,-1818,-87,1217,589,655,590,795,595,276,1593,1340,1208,2282,1874,2078,3280,353,2861,836,3918,3956,9144
Norberg,-634,-6803,-782,-1452,1525,726,-794,-1069,-301,544,391,497,972,992,-1292,1392,1138,918,5694,4851,-2333,2655,4248,5254
Vasteras,465,4696,697,231,382,435,742,880,2190,1702,1438,1501,1046,1467,1606,1539,181,3064,2678,3448,2263,3433,3490,7620
Sala,-700,-3130,4964,-220,601,284,669,968,1218,1128,690,655,3684,579,1819,2991,52,1762,2343,2871,-1596,-936,1663,1354
Fagersta,-408,-406,1953,3437,3159,1860,1442,1778,2326,3139,2618,1112,2075,1450,3319,1870,166,2138,3217,3121,3403,3854,-619,5850
Koping,5258,-443,-123,747,627,579,424,939,1323,589,507,1057,1358,743,1800,1111,288,1613,359,617,2871,2773,4451,1874
Arboga,7228,166,642,349,273,-518,2058,420,1289,-100,258,193,-285,606,1566,352,119,860,4981,896,-599,1028,3724,2119
Vansbro,-278,-624,-1225,-1571,-1649,-2328,-412,656,-282,-548,-1353,-1827,987,355,1744,2203,1525,1334,999,-529,-1984,-5218,3843,4336
Malung-Salen,-668,-744,-534,-317,-35,128,-204,413,-110,-2223,-957,488,2591,2178,-1807,-8,-3284,-3049,1405,-289,476,3126,4634,6375
Gagnef,-697,-741,786,203,113,459,632,99,408,120,-1488,110,147,7,1823,1701,960,1085,1405,1820,1719,1911,3865,2567
Leksand,-1125,-972,-734,-308,142,421,-42,397,1644,3191,299,1310,2657,503,482,1674,2080,2681,2435,1644,-617,585,1627,2239
Rattvik,-1082,-2403,-826,76,419,-1044,11,2344,2148,2277,774,-679,296,-697,416,841,198,608,1457,426,-1118,-1304,2014,9151
Orsa,-169,-283,57,401,454,-465,-70,917,808,487,-492,1076,791,1087,166,564,34,1871,2297,4065,1837,1310,4463,4745
Alvdalen,2378,-1369,-3482,-1540,1816,2715,794,501,584,-1235,-430,1510,925,-158,1468,1192,1181,239,684,-769,473,1733,1802,4227
Smedjebacken,-2299,-1332,-1075,-4769,-1469,146,-20,188,98,311,-359,85,487,1102,832,873,143,1416,2327,2422,1982,2249,2493,2578
Mora,372,-1551,24,116,-1348,-920,1,2701,1964,1403,2814,1940,3250,1988,1131,1503,195,271,2970,2168,713,474,1374,3154
Falun,-1337,-818,424,129,-983,-778,-844,705,1108,305,319,85,1535,911,762,1025,195,1778,2003,2313,699,899,2335,2681
Borlange,466,-197,375,-162,-1061,286,-24,427,1040,741,86,1016,1066,206,152,702,759,105,4239,672,154,976,926,4900
Sater,-554,-2291,-829,-1139,138,1577,570,394,1869,679,884,1466,1286,1315,368,825,1019,188,2901,748,483,1006,1308,1514
Hedemora,-1495,-1182,-1935,-1860,1392,-713,-639,-544,554,-10,17,418,-4,582,6,1279,-727,-13255,144,45,17,-291,2273,4353
Avesta,-1473,-2241,611,-468,-35,191,237,332,1547,837,-201,1108,1173,1549,618,1352,1463,2134,3188,2175,971,1218,3825,4849
Ludvika,96,-1685,-825,-815,33,-1109,-253,429,90,-23,60,630,888,426,1533,125,-2358,1067,980,1043,841,8293,1379,-3629
Ockelbo,-3536,-13,-1151,-4053,-980,-159,710,2215,554,234,-204,3487,693,1799,2204,1547,1725,744,1636,1191,1535,633,1354,3863
Hofors,237,2915,-6617,-102,702,1835,823,282,788,164,-410,1589,-90,-541,872,1640,173,-1834,-5585,-5404,-2885,31,1585,328
Ovanaker,363,107,282,346,36,53,170,346,1710,-76,-1369,-592,1018,-395,234,838,1079,1337,4863,1145,-1411,2558,1778,1150
Nordanstig,-927,-2665,-1858,677,-480,-738,1381,1215,2542,1396,1072,372,42,186,1150,1911,1315,829,82,-976,588,815,4260,6264
Ljusdal,-118,1547,-888,179,424,-692,-2291,1411,1904,444,-176,715,1817,1551,1276,549,-375,280,215,-708,-1206,-1118,1233,3688
Gavle,38,-523,364,777,12,-55,1110,1144,2759,2010,1418,2020,1454,2920,1578,1262,1984,2161,3707,3030,1259,3084,4963,-5729
Sandviken,-57,-950,945,1564,1476,1296,199,443,422,85,132,474,386,153,575,1084,405,365,1817,570,-106,-662,2762,2075
Soderhamn,-5376,-2567,-726,-803,-91,327,-863,1121,2756,701,-50,389,95,456,513,236,-215,904,2588,-1138,-137,43,772,2052
Bollnas,-885,-994,-281,500,-620,832,865,1268,1429,1109,16,4830,94,-1228,1031,-901,-76,2686,-5467,1755,2027,2001,281,3557
Hudiksvall,320,-615,414,-83,-1042,107,1219,837,1647,408,716,935,588,1195,1547,2257,349,847,4597,1934,531,-4073,3540,6144
Ange,60,-7711,639,2126,239,-344,-1252,-269,1976,674,849,-151,369,209,487,-9716,658,1957,5852,414,171,-213,2360,1872
Timra,-2860,-5463,-1744,96,53,-571,-579,553,821,1171,-1022,873,1628,437,1197,728,839,215,1127,1094,-3272,-881,1046,1170
Harnosand,-1170,-1805,-1519,-5312,601,-5,492,1536,1616,2623,461,-4036,-2173,1026,512,197,243,49,-856,-323,-199,126,2446,192
Sundsvall,-449,686,-149,-270,-678,-1003,483,681,106,328,349,410,656,1400,1135,1040,176,340,1330,1492,-1074,-1051,1495,3639
Kramfors,-604,-776,-5817,-2975,1914,2003,3,2,228,16,172,301,5,88,9,336,816,1200,705,1701,-2822,-314,1010,1928
Solleftea,6373,-2319,-5251,-2052,631,-1068,568,520,994,1005,729,523,864,819,824,64,-601,1621,3278,1309,-703,655,1401,3310
ornskoldsvik,-628,-421,251,266,353,-534,156,1056,1150,685,905,541,1348,-2258,385,1363,1496,663,1207,1405,706,632,2064,3288
Ragunda,-906,-4703,-4934,681,499,-1069,-2969,1823,496,707,-466,-2017,2032,816,3955,2348,-1250,2257,2188,1218,2858,1531,1440,2226
Bracke,448,-195,221,-4135,-390,-1319,58,2970,1839,941,-2103,-1611,15,-1449,-558,-10721,1056,974,1386,113,148,66,-1759,-2806
Krokom,-1960,-2903,-8353,661,1976,2217,349,1252,1612,1353,1032,1489,3234,2312,1502,859,60,736,203,71,67,-858,1097,2317
Stromsund,548,-1984,-2814,829,713,361,399,936,210,-909,1602,1046,2509,2604,2384,5,65,636,2638,1530,85,138,2253,2530
Are,591,-1195,1180,1522,1047,141,863,1463,838,48,1916,2216,3472,1093,2124,1760,10,2689,3810,2000,-484,-459,-704,6154
Berg,-1613,12241,1348,-261,-1773,-650,993,1058,883,-307,-131,483,308,1139,2761,2331,1013,194,3026,489,-1201,-667,1248,76
Harjedalen,233,324,1209,1551,2606,521,590,1911,2942,2535,1091,502,1120,2151,1176,1946,63,690,-1598,604,-710,-3502,2142,2768
ostersund,-2425,-3247,481,1190,193,632,859,1133,2427,1584,1291,1729,2757,1417,2291,1686,1106,1518,1107,1070,798,1895,2691,3724
Nordmaling,-931,-949,-135,-517,239,206,981,-1856,777,274,-567,1326,712,-270,-1017,-86,1166,2078,1701,638,-1450,-1903,929,3085
Bjurholm,-1146,-2696,-3072,198,4039,-4192,-3652,185,372,364,-1093,228,271,981,2079,83,391,2392,9412,-1005,-6077,781,-3241,
Vindeln,-1904,-1253,-1742,-7196,499,1754,958,1287,1075,52,-626,535,921,2104,194,79,-815,213,352,1666,853,-287,2226,4854
Robertsfors,-1226,-400,-84,-786,527,-535,-2112,349,1637,-653,-779,1193,2395,1720,2032,842,1580,1573,1899,1181,62,-76,3542,3539
Norsjo,-2180,-1183,1129,1125,2111,416,1246,1414,1625,1392,613,690,1510,177,791,1317,856,1034,2072,3695,248,-1837,-7757,-6505
Mala,-934,-547,98,-1732,165,-1808,429,130,-484,194,1223,-243,-2604,150,-684,-331,-931,-12139,685,2607,-438,1,5447,3711
Storuman,-2017,-282,23,-118,1960,174,-1287,-2858,2049,707,419,-1203,1646,452,1403,1377,1408,1371,1507,1559,1403,1121,2935,4780
Sorsele,1497,-569,248,-883,765,-1777,-3673,-12986,-3714,497,490,917,1549,-17,-1014,908,-2888,2515,3393,2039,208,1727,3300,6449
Dorotea,44,-9769,328,1154,3182,-915,1405,1533,1569,1085,731,3557,1843,2048,794,1713,1021,-8847,-720,-4797,3389,2904,1879,146
Vannas,-543,-1277,-38,-859,-2759,-58,1760,1885,1476,272,6,511,1713,442,1264,-100,795,646,1406,3069,1821,3175,1666,6649
Vilhelmina,2115,854,143,400,31,874,3117,2252,1233,-136,-2238,564,1346,-409,277,1386,-1041,-2579,4056,821,-5798,-4106,-976,2653
Asele,-783,-2120,653,-1216,696,23,-5666,629,1681,889,2910,3623,948,-1725,-785,1877,-3339,-447,3398,2379,-6313,-5280,3503,4631
Umea,-249,-1689,-162,1098,-94,276,369,574,1237,1396,340,639,1846,0,948,1,-632,-347,692,2072,239,1463,2776,3692
Lycksele,65,71,1609,187,-346,-369,396,1506,1348,1163,-4059,1585,1571,189,-2160,-483,-175,-1802,3364,3373,2862,1113,1198,3328
Skelleftea,-1209,-389,3841,845,633,818,-1762,1146,4035,100801,7542,2416,3967,2872,3721,987,-98,1801,1933,618,266,825,5242,6298
Arvidsjaur,-1058,-1209,-644,-531,-864,-56,-546,-500,1344,496,182,-276,2144,232,-2295,2498,1686,1988,3596,1299,-501,1198,849,2445
Arjeplog,349,-445,-780,-1702,-631,-7009,1415,2568,2887,1695,-2064,1396,-716,-264,-1394,-221,-951,1703,5979,-67,-4004,1001,7478,2760
Jokkmokk,-1670,-2049,224,1039,539,-2880,86,539,810,931,10,1748,2466,232,368,2032,44,-780,1184,1734,-329,-3378,3104,1772
overkalix,1189,-2054,192,539,376,213,-3382,80,-2425,331,174,691,1912,1598,1650,977,-2060,1426,7411,1133,-24,-2106,4264,4688
Kalix,-786,52,121,737,-654,-638,-1061,978,164,127,-63,-184,1768,1349,1101,1001,102,433,2080,4630,498,1784,3094,3907
overtornea,683,-152,27,-251,-934,1238,714,2080,2015,641,-312,886,4174,1117,2464,1032,5106,2077,701,461,1910,1773,3267,10952
Pajala,-1660,-1215,-278,11,-1259,-1415,247,260,189,105,124,438,252,624,657,66,-1626,-247,1554,1195,1071,912,6114,5799
Gallivare,-2374,-8756,-481,-1630,1263,1900,1206,4494,1036,1547,1248,2290,2449,1406,1826,4477,25481,-2758,3362,108598,983,1971,-3010,4445
Alvsbyn,838,-4164,687,-431,-429,-2204,-779,2665,1131,890,387,641,1079,900,1346,1471,110,0,1454,4245,-5,-2806,2300,4624
Lulea,2192,1526,1092,143,-91,-607,372,878,1258,529,231,1600,987,1368,1219,1133,323,3827,1863,5961,1018,2216,4523,3964
Pitea,588,-9,391,5758,490,169,6,421,1144,1062,892,574,888,603,987,1400,511,762,892,1159,1586,2111,3420,4351
Boden,488,-1199,-2641,851,943,-515,-328,225,7851,536,-667,1308,1514,294,1522,1172,74,1406,2264,1565,-533,-1047,238,1179
Haparanda,-736,-4735,-4984,-577,833,838,374,832,2124,4715,504,561,2234,760,368,971,998,2433,1702,2031,4248,3143,3885,5241
Kiruna,-654,-2030,187,-270,-1152,-432,697,1571,1253,1483,17,680,1066,3778,570,-2495,14696,97493,34,2831,26639,5593,12689,37303
